split,index,I-ADR,B-ADR,B-Drug,I-Finding,B-Finding,B-Disease,B-Symptom,I-Symptom,I-Disease,I-Drug,micro avg,macro avg,weighted avg,samples avg
train,precision,0.5636497424576895,0.6530678851174935,0.992108229988726,0.0,0.0,0.16666666666666666,0.2222222222222222,0.0,0.16666666666666666,1.0,0.6317018791803801,0.3764381413119464,0.5866377458971944,0.06278358130209982
train,recall,0.3852634226078209,0.424660441426146,0.6303724928366762,0.0,0.0,0.004329004329004329,0.009009009009009009,0.0,0.005917159763313609,0.006211180124223602,0.37849872773536897,0.1465762710096194,0.37849872773536897,0.06275192571488868
train,f1-score,0.45768914780790193,0.5146604938271605,0.7709154621112572,0.0,0.0,0.008438818565400845,0.017316017316017316,0.0,0.011428571428571427,0.01234567901234568,0.47336807351127735,0.17927941900686548,0.4548977500230483,0.06276247757729239
train,support,7953.0,4712.0,1396.0,349.0,309.0,231.0,222.0,218.0,169.0,161.0,15720.0,15720.0,15720.0,15720.0
dev,precision,0.4840764331210191,0.6642335766423357,0.9925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5892053973013494,0.21408473231961905,0.5240371531755599,
dev,recall,0.39337474120082816,0.41935483870967744,0.7228260869565217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38044530493707646,0.15355556668670273,0.38044530493707646,
dev,f1-score,0.4340376927470017,0.5141242937853107,0.8364779874213836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4623529411764706,0.17846399739536958,0.43944205040337636,
dev,support,966.0,651.0,184.0,54.0,64.0,31.0,25.0,36.0,28.0,27.0,2066.0,2066.0,2066.0,
test,precision,0.5492307692307692,0.6784741144414169,0.9925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6412478336221837,0.22202974762647787,0.5727928715646997,0.0625316883555856
test,recall,0.36918304033092036,0.4322916666666667,0.6118721461187214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3720462543991956,0.14133468531163085,0.3720462543991956,0.0624894372148048
test,f1-score,0.4415584415584415,0.5281018027571581,0.7570621468926554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4708876869233218,0.1726722391208255,0.45096544069614247,0.06250352092839839
test,support,967.0,576.0,219.0,36.0,52.0,20.0,22.0,33.0,12.0,52.0,1989.0,1989.0,1989.0,1989.0
